      cmd_id  handler
  0xB8553314  <unresolved ptr 0x0>
  0xBE975A10  <unresolved ptr 0x0>
  0x959AFE8F  <unresolved ptr 0x2f8a880>
  0x44002F5A  <unresolved ptr 0x2f8a9dc>
  0xC2024096  <unresolved ptr 0x2f8b1dc>
  0x3BCF0C76  <unresolved ptr 0x2f8ed0c>
  0xFFB98ABA  <unresolved ptr 0x2f93840>
  0xFB3F665A  <unresolved ptr 0x2f95578>
  0xAE487D79  <unresolved ptr 0x2f96724>
  0x12821D92  <unresolved ptr 0x2f96c6c>
  0xB66EBE45  <unresolved ptr 0x2f9a79c>
  0x487F64F6  <unresolved ptr 0x2f9b674>
  0x9358962C  <unresolved ptr 0x2f9e024>
  0xADA6E4C6  <unresolved ptr 0x2fa3e18>
  0xC4A53FC0  <unresolved ptr 0x2fb0cc8>
  0x771EA36E  <unresolved ptr 0x2fb3f70>
  0x1133555E  <unresolved ptr 0x2fb7188>
  0x90AD873D  <unresolved ptr 0x2fbf0a0>
  0xD7425456  <unresolved ptr 0x3df1740>
  0xAF29ED03  <unresolved ptr 0x4203a30>
  0xBB628125  <unresolved ptr 0x4205b08>
  0xAFF3D72B  <unresolved ptr 0x4205e20>
  0x1355F64A  <unresolved ptr 0x420f3c8>
  0xFBC2FA08  <unresolved ptr 0x42118e8>
  0xBC8FDA7C  <unresolved ptr 0x421c6c0>
  0x93F5C551  <unresolved ptr 0x422b128>
  0x7E7107E7  <unresolved ptr 0x422b9f0>
  0x5B210AC7  <unresolved ptr 0x4232948>
  0x4C1872DD  <unresolved ptr 0x4247000>
  0xED2C9364  <unresolved ptr 0x424b720>
  0x9FABF964  <unresolved ptr 0x42579b0>

total cases: 31
